#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:49:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09332100 MUDDY CREEK BL I-70 NR EMERY, UTAH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09332100	97	1980-10-16		Yes	MGH/JRT	USGS	1.00	15.7	 5.0	0.00	-2.50	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.7	13.5	7.88	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	98	1980-11-26		Yes	JRT	USGS	1.27	27.0	 5.0	0.00		POOR	0.03	0.40	SICE	MEAS	1	Unspecified	WADE	QUNSP		27.0	14.0	12.0	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	99	1981-01-16		Yes	MGH/JRT	USGS	1.40	15.6	 5.0	0.00		FAIR	0.00	0.40	SICE	MEAS	1	Unspecified	WADE	QUNSP		15.6	15.0	10.9	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	100	1981-03-18		Yes	JRT	USGS	0.77	7.78	 5.0	-0.020	-0.900	GOOD	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.78	12.5	6.02	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	101	1981-04-10		Yes	GAB/JRT	USGS	1.28	30.2	 5.0	-0.020	1.30	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.2	17.0	14.1	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	102	1981-05-15		Yes	JRT	USGS	0.58	2.57	 5.0	-0.050	0.400	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.57	12.0	3.15	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	103	1981-06-18		Yes	JRT	USGS	0.66	4.02	 5.0	-0.050	-2.20	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		4.02	12.0	4.11	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	104	1981-07-17		Yes	JRT	USGS	0.56	2.89	 5.0	-0.020	6.20	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.89	12.5	3.11	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332100	105	1981-08-07		Yes	JRT	USGS	0.47	2.02	 5.0	0.020	-1.50	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.02	6.50	2.34	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
